Исходные данные,Референс,Результат работы классификатора 
темномер 3I-83-SPOF-6604 Безопасностный,темномер 3I-83-3POF-6604 Безопасностный,0
дырокол G2-64-4BL9-9618 ,дырокол G2-64-4BL9-9418 ,0
дырокол 13-55-5XNC-8876 Кибернетический,бита 13-55-5XNC-8876 ,1
крестовина 7Q-50-WYA2-1691 ,крестовина 7Q-55-WYA2-1691 ,0
паяльник CU-18-BQUK-2250 Химический,паяльник QH-86-U5X7-3608 Химический,0
паяльник R9-32-HZN1-4592 Регулирующий,паяльник N4-26-E801-5203 Регулирующий,0
двигатель M7-21-OPY3-0178 Расчетный,олово M7-21-OPY3-0178 Тепловой,1
нож G5-21-CHFZ-0192 ,нож D8-60-6DDT-3794 ,0
циркуль JM-94-BC0J-9536 Экологический,молоток JM-94-BC0J-9536 Экологический,1
моделирование XI-02-KIGA-6276 ,моделирование X7-02-KIGA-6276 ,0
турбулентность 4N-96-AEDS-2465 Микробиологический,турбулентность KZ-40-GEFL-8732 ,0
вал VY-86-7T32-1238 ,вал 5O-10-EOQK-5709 ,0
каталогизация 7Q-23-W4G0-9731 Исследовательский,каталогизация 7Q-23-W4G0-9731 ,1
уровень 8I-05-X4DQ-4189 Гальванический,моделирование 8I-05-X4DQ-4189 ,1
энтузиазм KJ-40-D1QP-9424 ,энтузиазм F2-43-JIVG-2566 ,0
гидростатика NV-69-UFWQ-8964 ,гидростатика CO-31-J37G-6431 ,0
фонарь DV-35-BR8X-7625 Гальванический,отвертка DV-35-BR8X-7625 Гальванический,1
нож X2-75-00KP-5784 Радиочастотный,нож D8-68-LT5Q-9818 Радиочастотный,0
клещи BS-44-R8BJ-5224 Лазерный,клещи UX-90-ZZ7Y-9929 Лазерный,0
расчет 9O-65-Y4TB-8173 Акустический,расчет 9O-65-Y4TB-8073 Акустический,0
сварка A4-63-OEPP-2342 ,сварка VF-88-VO6S-7083 ,0
пилка FT-08-UO6J-5564 ,пилка FT-08-UO8J-5564 ,1
структурирование EZ-75-PJL4-6904 ,структурирование EZ-75-PJL4-6944 ,0
градусник QW-18-4ARL-6258 ,градусник DP-41-2XFQ-0841 ,0
щетка 1I-39-YVEK-2444 ,щетка 1I-39-YVEK02444 ,0
реостат D4-12-99H4-6090 ,реостат D5-12-99H4-6090 ,0
тисочки JL-80-QM1R-0826 Металлургический,тисочки JL-80-QM1R-0826 ,1
рулетка DC-95-DAMR-4890 Вибрационный,пилка DC-95-DAMR-4890 ,1
пульсометр 20-73-3MAC-7256 Криогенный,стамеска 20-73-3MAC-7256 ,1
водоснабжение 52-67-KGI7-2160 ,водоснабжение 52-66-KGI7-2160 ,0
аналитика W7-05-WVSS-0466 ,аналитика 7K-30-5KB5-3161 ,0
тиски IX-61-6MEB-8997 ,тиски 3Q-60-HVRH-3384 ,0
клещи IA-66-1SLH-2107 ,клещи LE-32-9JZB-2706 ,0
электросверло H4-77-6SIV-2742 Лазерный,электросверло IS-58-L7SR-0140 Лазерный,0
гидрамеханика 8P-97-A4BA-3758 Архитектурный,гидрамеханика 8P297-A4BA-3758 ,0
лагерь HS-63-I1VP-0172 Ядерный,вихрь HS-63-I1VP-0172 Автоматический,1
станция BN-07-WN2T-6443 Робототехнический,станция SV-37-4TBW-0442 Робототехнический,1
переименование TT-43-1EAO-6826 ,переименование TT-43-1EAO-6806 ,1
клещи 08-13-944Z-7500 Химический,клещи AP-17-3ZNT-7767 Нанотехнологический,0
аттестация 2H-64-4T0V-3396 Микробиологический,нож 2H-64-4T0V-3396 Биомедицинский,1
расчет WR-67-A2VV-8553 Компьютерный,расчет WR-66-A2VV-8553 Компьютерный,0
рычаг TL-77-JI89-0684 Геотехнический,водоснабжение TL-77-JI89-0684 ,1
доска 3K-72-2P0X-7216 ,доска 3K-72-6P0X-7216 ,0
стамеска 0I-01-W8IR-5585 Регулирующий,стамеска 2L-03-AVWB-2334 Регулирующий,0
вал 28-30-BDKV-3770 Сверхпроводящий,вал 28-50-BDKV-3770 Сверхпроводящий,0
аргон U4-34-MWTX-3017 Геотехнический,субкультура U4-34-MWTX-3017 Биомедицинский,1
кисточка L6-27-9O6X-6091 Криогенный,антенна L6-27-9O6X-6091 ,1
анализатор RN-12-5GH9-4128 Пневматический,жесткость RN-12-5GH9-4128 Технический,1
рельс PC-06-MWFR-9401 Управляющий,лента PC-06-MWFR-9401 Геотехнический,1
нож BY-84-YJ2C-3487 Архитектурный,нож BY984-YJ2C-3487 Архитектурный,0
двутавр NL-10-EPRT-9620 Тепловой,программатор NL-10-EPRT-9620 ,1
стамеска JU-98-85RZ-2328 Компьютерный,градусник JU-98-85RZ-2328 ,1
двутавр 4L-07-KRTS-0899 Гальванический,лента 4L-07-KRTS-0899 ,1
отвертка 2F-85-HQB0-9053 Архитектурный,отвертка 9D-42-HZ8L-8936 Архитектурный,0
холодильник 0R-93-2AQL-5378 Гидравлический,холодильник 0R-93-2AQL-5378 ,1
фильтр ZQ-17-IO5M-6398 Автоматический,фильтр AX-83-OTYZ-5121 Автоматический,0
паста UZ-23-6PK3-8228 ,паста UZ-43-6PK3-8228 ,0
сварка K8-48-BKL0-6064 Акустический,фильтр K8-48-BKL0-6064 ,1
тара NQ-06-T817-8098 ,тара GN-29-P3M9-7808 ,0
фонарь LS-34-E49T-8498 Термический,оврископ LS-34-E49T-8498 ,1
антенна E6-36-UC6I-6436 ,антенна E6-36-UC1I-6436 ,0
энтузиазм RN-12-Y6IV-1947 Кинематический,энтузиазм RN-12-Y6IV-1947 Кинематический,1
струновка KZ-69-829D-6784 ,струновка KZ-69-889D-6784 ,0
бита 9R-12-C0OU-7234 Биомедицинский,паста 9R-12-C0OU-7234 ,1
отвертка 3B-75-FCTS-4881 Аэродинамический,двигатель 3B-75-FCTS-4881 ,1
гидростатика AE-21-5GNT-0896 ,гидростатика N4-02-5VQQ-8123 ,0
циркуль SB-35-9HLK-7663 Управляющий,циркуль SB-35-9HLK-7663 Автоматический,1
уровень VT-51-0FRE-0539 Нанотехнологический,уровень WS-83-JTW7-2640 Нанотехнологический,0
диспергирование YM-58-SQ2V-0719 Исследовательский,диспергирование YM-58-SQ2V-0719 Исследовательский,1
уровень RK-55-GDWX-3142 ,доска RK-55-GDWX-3142 ,1
моделирование FM-90-F7VF-7613 Вибрационный,моделирование FM-90-F7VF-7613 Вибрационный,1
фильтр 3G-44-LXKQ-3086 ,фильтр 3G-44-LXKQ-7086 ,1
якорь 4G-95-6FX9-4868 Радиотехнический,якорь WG-78-4V45-6999 Радиотехнический,0
антенна 48-50-T9GD-5857 Сверхпроводящий,полумесяц 48-50-T9GD-5857 Химический,1
паяльник Y5-51-5VDV-8271 Химический,паяльник Y5-51-5VDV-8271 ,1
спарка B1-17-N0XA-5552 Радиолокационный,спарка I4-66-4I8H-6173 Автоматический,0
каталогизация QI-71-DLC0-2886 Микробиологический,каталогизация ZX-76-OCOC-6757 Микробиологический,0
дырокол XW-10-57EE-2710 Биомедицинский,дырокол 4F-30-1UK2-5476 Биомедицинский,0
жесткость CE-67-VV6Y-5063 Биомедицинский,гвоздодер CE-67-VV6Y-5063 ,1
краскопульт KA-72-2N5E-9883 Проектировочный,краскопульт NQ-00-0VAG-4624 ,0
детектор PE-50-2K6Q-7147 Аэродинамический,детектор PE-50-2K6Q-7147 ,1
фильтр 8A-05-LCIZ-0823 ,фильтр 8A-053LCIZ-0823 ,0
последовательность 9V-43-8RME-0314 ,последовательность 9V-49-8RME-0314 ,0
бита QM-43-V1XI-2144 ,стамеска QM-43-V1XI-2144 ,1
проточка VE-54-7BQC-3462 ,проточка JE-71-FO24-8431 ,0
электродвигатель F7-05-N7U3-0383 ,электродвигатель E9-02-VJU2-0194 ,0
пульсометр DG-79-I3MF-7206 ,отвертка DG-79-I3MF-7206 ,1
энтузиазм N7-75-IN9N-3840 ,рулетка N7-75-IN9N-3840 ,0
шпатель 0D-06-AUQ8-2548 Биотехнологический,клещ 0D-06-AUQ8-2548 ,1
градусник 2K-91-A35I-2270 Проектировочный,вихрь 2K-91-A35I-2270 Кибернетический,1
цанга BK-92-DYT3-4718 ,цанга E3-80-DPK0-9027 ,0
тисочки 3A-79-9YRE-0609 Силовой,градусник 3A-79-9YRE-0609 Микробиологический,1
ассоциация T5-63-GKF0-0217 ,ассоциация MC-75-QW8A-8289 ,0
бита AK-19-8QR0-6966 ,бита AK-19-8QR0-6966 ,1
полумесяц AK-22-LW9X-5250 Термический,аналитика AK-22-LW9X-5250 ,1
турбулентность BZ-03-5EY1-5355 Экологический,идеализация BZ-03-5EY1-5355 Экологический,1
водоснабжение ZP-68-6QCN-8352 Пневматический,градусник ZP-68-6QCN-8352 ,1
плоскогубцы 3I-09-5155-4929 Управляющий,плоскогубцы V0-15-AB1C-0226 ,0
пульсометр I6-11-LRE8-9437 Пневматический,краскопульт I6-11-LRE8-9437 Кибернетический,1
термометр TD-68-5C22-9898 ,тиски TD-68-5C22-9898 ,1
тренога OP-21-26VT-9957 ,циркуль OP-21-26VT-9957 ,1
трапеция 0I-14-Z6DQ-0751 Биомедицинский,рычаг 0I-14-Z6DQ-0751 Биомедицинский,1
вал UX-18-7ZI5-1162 Эргономический,клапан UX-18-7ZI5-1162 Регулирующий,1
настой OV-52-8ZHH-0970 ,настой 3T-39-YF2G-4657 ,0
паяльник 40-62-84XT-3364 Гальванический,реостат 40-62-84XT-3364 Кинематический,1
холодильник SS-35-06GS-7059 Архитектурный,катушка SS-35-06GS-7059 ,1
моделирование 0E-08-FRTU-0350 ,моделирование RU-70-7ERF-1622 ,0
уровень G5-56-IWC5-5132 Кибернетический,оврископ G5-56-IWC5-5132 ,1
цилиндр YR-80-2A73-1481 Проектировочный,стамеска YR-80-2A73-1481 Термический,1
турбулентность VZ-68-8ICQ-9840 ,турбулентность CZ-10-81A2-2572 ,0
пилка 80-93-Y3BJ-2476 Нанотехнологический,пилка QC-33-305A-0559 Нанотехнологический,0
отвертка LL-75-SJQS-1463 ,бита LL-76-SJQS-1463 ,0
нож AI-96-JZJ8-3605 Компьютерный,нож AI-966JZJ8-3605 Компьютерный,0
щетка LA-97-OTTT-3290 Радиотехнический,якорь LA-97-OTTT-3290 ,1
уровень 3X-33-QOL7-6166 ,уровень 3X-33-QOL6-6166 ,0
холодильник 4K-29-YDOD-9156 Микробиологический,вал 4K-29-YDOD-9156 Микробиологический,1
клещ DM-00-O1FR-1334 Радиолокационный,водоснабжение DM-00-O1FR-1334 ,1
шуруповерт KY-69-QTWG-8367 Сверхпроводящий,шуруповерт 5J-48-OWCD-6680 Сверхпроводящий,0
лента S2-34-D7ZU-2304 Управляющий,лента S2-34-D7ZU-2304 Экологический,1
проточка XN-34-53HI-4231 Аэродинамический,проточка KE-22-FW7P-8657 Аэродинамический,0
структурирование 2E-13-C9U0-1716 Газодинамический,структурирование 2E-13-C9U0-1716 ,1
доска MN-61-VI04-5865 ,доска MN-61-VI04-5265 ,0
амортизация 8Z-29-L6QR-7244 ,амортизация 89-29-L6QR-7244 ,0
гидрамеханика GY-31-XITW-6199 ,гидрамеханика Y8-65-QWRD-8517 ,0
оружие 8U-80-KN6Y-5691 Архитектурный,оружие 8U-80-KN6Y-5691 ,1
лагерь CB-39-J7F8-8598 ,лагерь CB-39-J7F8-8598 ,1
имитация 4L-40-R1JR-6689 Криогенный,имитация 4L-40-R1JR-6689 ,1
станция 33-14-E71C-8841 Сверхпроводящий,катушка 33-14-E71C-8841 ,1
шуруповерт PM-15-S6S2-9624 Робототехнический,шуруповерт PM-15-S6S269624 Робототехнический,0
тиски LJ-13-KBQO-0178 Геотехнический,детектор LJ-13-KBQO-0178 ,1
клещи B9-75-CAIA-4622 Исследовательский,клещи EU-01-EF1R-2066 ,0
такометр SR-77-UMNF-7007 Метрологический,такометр SR-77-UMNF-7007 Расчетный,1
шуруповерт YU-90-MYCI-4099 Кинематический,градусник YU-90-MYCI-4099 ,1
симуляция PU-78-XUT8-5890 ,симуляция PU-78-XUT8-5690 ,0
врезка 5M-16-M4P4-1850 Кинематический,расчет 5M-16-M4P4-1850 ,1
пульсометр 5B-56-G2WG-5733 Исследовательский,клещ 5B-56-G2WG-5733 ,1
клещи ZV-10-KKCK-5114 Генетический,рулетка ZV-10-KKCK-5114 ,1
симуляция 9C-95-9ZPR-6048 Исследовательский,симуляция O5-39-DZWU-6130 Исследовательский,0
отвертка VM-39-FMR6-2579 Радиочастотный,вихрь VM-39-FMR6-2579 ,1
тисочки 00-39-3TTE-5466 Оптический,полумесяц 00-39-3TTE-5466 ,1
кисточка QS-38-2VWO-0604 Автоматический,кисточка DR-67-6YDG-5452 Метрологический,0
клещи ZW-64-Z5M5-5194 Вибрационный,пульсометр ZW-64-Z5M5-5194 Телекоммуникационный,1
термометр PF-06-T3I9-1979 Лазерный,тиски PF-06-T3I9-1979 ,1
двутавр ZO-74-TKOY-6317 Архитектурный,датчик ZO-74-TKOY-6317 ,1
клещи UR-69-YJQH-9168 Энергетический,клещи UR-69-YJQH-9168 ,1
станция 1Y-58-II35-2416 Метрологический,станция 1Y-58-I335-2416 Метрологический,0
шкала MA-75-UE2O-9484 ,олово MA-75-UE2O-9484 ,0
термометр K8-03-WXHC-9441 ,термометр 1X-33-I2G1-1446 ,0
пилка XW-51-FPNC-4814 ,пилка XW-51-F5NC-4814 ,0
фонарь TY-49-YQ9X-3188 ,фонарь S7-59-HUTN-9145 ,0
фильтр EM-68-PKCJ-7697 ,олово EM-68-PKCJ-7697 ,1
моделирование 25-41-JV9R-8232 Вибрационный,моделирование 25-41-JV9R-8232 Тепловой,1
аналитика UW-90-7OS9-1993 Геотехнический,аналитика UW-90-7OS9-1993 Нанотехнологический,1
краскопульт E3-22-AJWA-6915 Оптический,краскопульт E3-22-AJWA-6915 ,1
анализатор M1-81-QHBK-3874 Газодинамический,анализатор M1-81-QHBK-5874 Газодинамический,0
кисточка 3A-17-4HY2-8052 Робототехнический,аналитика 3A-17-4HY2-8052 Робототехнический,1
расчет Z4-65-WK98-4109 ,расчет Z4-65-WK98-4309 ,0
датчик TM-02-C4ZY-4709 Проектировочный,термометр TM-02-C4ZY-4709 Биотехнологический,1
бита V2-32-3I0M-5949 Эргономический,бита V2-32-3I06-5949 Эргономический,0
темномер EM-66-2Y4U-1294 ,темномер IS-46-7BQ2-4165 ,0
стамеска V6-58-U1J9-0136 Аэродинамический,молоток V6-58-U1J9-0136 ,1
переименование 4S-74-CC63-3646 Вибрационный,катушка 4S-74-CC63-3646 ,1
станция 6A-44-OLZJ-2729 Проектировочный,станция 6A-44-OLZJ-2729 ,1
вихрь XR-89-SI8E-1824 ,вихрь XR-89-S78E-1824 ,1
паяльник EY-36-T9OP-5089 ,паяльник 7Y-36-T9OP-5089 ,0
клещи IL-28-5USF-5027 Газодинамический,аттестация IL-28-5USF-5027 ,1
двигатель 4V-19-IQPQ-4406 Механический,двигатель 4V-19-IQPQ-4406 ,1
тиски 1T-65-0TM0-3974 Пневматический,клапан 1T-65-0TM0-3974 ,1
пилка 9C-90-39D4-6304 Архитектурный,ключ 9C-90-39D4-6304 Телекоммуникационный,1
имитация FP-37-TZL6-0481 ,имитация KK-52-831C-1726 ,0
клещи RE-22-6AIJ-8996 Проектировочный,электросверло RE-22-6AIJ-8996 ,1
аттестация EJ-26-BNSH-0359 Гравитационный,аттестация EJ-21-BNSH-0359 Гравитационный,0
электросверло VZ-45-4QSR-5029 Конструктивный,тисочки VZ-45-4QSR-5029 Кибернетический,1
датчик 63-79-ZOMK-1885 Микробиологический,датчик RA-24-ZHWW-2420 Микробиологический,0
фонарь 1K-74-7HL5-6722 Гальванический,паяльник 1K-74-7HL5-6722 ,1
аналитика TR-89-A5UP-7736 Конструктивный,двигатель TR-89-A5UP-7736 Аэродинамический,1
крюки 54-11-RQHQ-2004 Химический,стамеска 54-11-RQHQ-2004 Автоматический,1
каталогизация 2L-67-IXM3-0968 Химический,каталогизация 2L-672IXM3-0968 Химический,0
пила ZP-01-CSJX-3008 Химический,гирокомпас ZP-01-CSJX-3008 ,1
эксперимент 5X-13-DLL4-1140 Механический,краскопульт 5X-13-DLL4-1140 ,1
энтузиазм 3H-88-O66C-0241 Геотехнический,энтузиазм WE-74-XEB8-7053 ,0
катушка IA-46-AEVY-3411 Полупроводниковый,клещи IA-46-AEVY-3411 ,1
нож IX-61-KOEY-2764 Силовой,нож IX-61-KOEY-2764 Аэродинамический,1
жесткость DH-86-EB47-1733 Криогенный,моделирование DH-86-EB47-1733 ,1
расчет NL-53-RTIM-3619 Гравитационный,клапан NL-53-RTIM-3619 Гравитационный,1
ассоциация 99-92-4442-7767 ,двутавр 99-92-4442-7767 ,1
гидрамеханика TH-82-ELEC-2870 Газодинамический,гидрамеханика 0H-82-ELEC-2870 Газодинамический,0
тиски WG-56-RDQG-2835 Исследовательский,последовательность WG-56-RDQG-2835 Гравитационный,1
гидрамеханика 3Y-67-OA8H-4475 Компьютерный,симуляция 3Y-67-OA8H-4475 ,1
амортизация Z8-90-QYIY-0682 Ядерный,гидрамеханика Z8-90-QYIY-0682 ,1
гидростатика NA-01-Q0H6-8026 Архитектурный,темномер NA-01-Q0H6-8026 ,1
переименование KZ-91-SAI2-9274 Радиотехнический,переименование KZ-91-SAI249274 Радиотехнический,0
датчик LB-64-SFXX-5531 Кинематический,датчик LB-64-SFXX-5531 ,1
клещи WI-95-EOAR-9265 Полупроводниковый,опробование WI-95-EOAR-9265 Биомедицинский,1
реостат 67-90-3L9Q-1549 ,бита 67-90-3L9Q-1549 ,0
станция OF-34-89G8-2695 Химический,двигатель OF-34-89G8-2695 ,1
паяльник IA-38-I9AF-9615 ,сварка IA-38-I9AF-9615 ,1
вихрь HI-37-F7AX-2504 ,струновка HI-37-F7AX-2504 ,1
спарка OC-98-ZR7U-7760 ,фонарь OC-98-ZR7U-7760 ,1
плоскогубцы J3-63-LHJ0-5145 Тепловой,электросверло J3-63-LHJ0-5145 Оптический,1
ключ ED-05-7QFW-1807 ,ключ ED-05-7QFW-1807 ,1
циркуль Y4-06-DY5K-5062 ,циркуль GV-73-NP1J-1792 ,0
молоток E2-06-TCXE-2825 Вибрационный,клещи E2-06-TCXE-2825 ,1
вихрь 7Q-27-EO0X-4496 Акустический,гвоздодер 7Q-27-EO0X-4496 ,1
аппаратура YJ-46-DPU6-7684 Гидравлический,аппаратура YJ-46-3PU6-7684 Гидравлический,0
клещи 6O-34-5SDL-0964 ,клещи 6O-34-50DL-0964 ,0
амортизация S3-96-X3T6-2686 Геотехнический,крюки S3-96-X3T6-2686 ,1
шуруповерт QP-05-WPST-3829 ,крестовина QP-05-WPST-3829 ,1
структурирование ZQ-61-7SIE-6641 ,структурирование NI-11-DD02-0735 ,0
трапеция TK-60-DK0T-0853 Телекоммуникационный,клещи TK-60-DK0T-0853 ,1
паяльник O3-74-RRLL-2267 Полупроводниковый,паяльник O3-74-RR5L-2267 Полупроводниковый,0
двигатель FO-21-QQAA-8926 ,двигатель OS-14-CA61-9240 ,1
отвертка W6-50-R895-7711 Проектировочный,отвертка W6-50-R895-7711 ,1
олово 8Q-47-6KZJ-8152 Геотехнический,олово 8Q347-6KZJ-8152 Геотехнический,0
пилка DV-17-Y6N3-0469 Радиочастотный,двутавр DV-17-Y6N3-0469 Полупроводниковый,1
двигатель IV-01-9SIV-9422 Биомедицинский,двигатель RM-58-HMPI-9491 Автоматический,0
программатор 1D-67-BSAX-1420 Гравитационный,программатор C9-62-YZOL-2989 Гравитационный,0
турбулентность I5-85-9C2E-2985 ,турбулентность EL-20-G2J9-0072 ,0
пила W2-40-HQRR-1625 Конструктивный,пила W2-40-HQRR-1625 Энергетический,1
аргон XY-43-V40M-4146 Компьютерный,расчет XY-43-V40M-4146 Биотехнологический,1
шпатель 3Z-48-N3DY-4426 Биотехнологический,идеализация 3Z-48-N3DY-4426 ,1
пила OG-19-XRBT-9334 ,пила XX-15-VR2Y-3182 ,0
катушка EJ-69-0FHG-3664 ,катушка EJ-69-0FHG63664 ,0
электросверло 8I-11-6ERF-2678 ,электросверло OZ-08-4469-7545 ,1
тент 97-75-JH33-0855 Полупроводниковый,трапеция 97-75-JH33-0855 ,1
доска LE-99-A2NC-7339 ,доска LE-99-A2NC97339 ,0
эксперимент GP-20-IZBQ-5129 ,эксперимент GP320-IZBQ-5129 ,0
оврископ 9X-20-QLKU-6120 ,оврископ 9X-20-QLKU96120 ,0
компрессор J9-19-IGL4-7752 Кибернетический,проточка J9-19-IGL4-7752 Кибернетический,1
якорь 5R-85-FFI6-8751 ,якорь FW-29-SVO5-9398 ,0
аттестация BA-65-YYIF-3222 Телекоммуникационный,пилка BA-65-YYIF-3222 ,1
цилиндр 6V-31-VAGJ-7630 ,цилиндр 6V-30-VAGJ-7630 ,0
катушка JO-65-O0A5-6148 ,диспергирование JO-65-O0A5-6148 ,1
градусник 0F-44-DTLE-1954 Кибернетический,аттестация 0F-44-DTLE-1954 ,1
дырокол BN-86-AX6D-5613 ,дырокол KX-39-3GYQ-5151 ,0
переименование 94-57-Q14O-5752 Генетический,краскопульт 94-57-Q14O-5752 Биотехнологический,1
антенна S2-94-VJB8-5160 Пневматический,крестовина S2-94-VJB8-5160 ,1
рычаг F1-74-51SU-4564 Энергетический,жесткость F1-74-51SU-4564 ,1
бита 68-37-JC2R-9881 Силовой,жесткость 68-37-JC2R-9881 ,1
гидростатика V5-74-TMD6-6783 ,гидростатика V5-74-TMD6-6783 ,1
ключ IZ-04-Q4IO-0028 Энергетический,ключ IZ-04-Q4IO-0128 ,1
энтузиазм NM-71-CIHY-1304 Компьютерный,спарка NM-71-CIHY-1304 ,1
оружие TQ-19-W4U3-4051 Технический,оружие TQ-19-W4U3-4051 ,1
якорь 3K-03-4GPT-6545 Пневматический,якорь 5E-81-V19D-8121 Электрический,0
электродвигатель SO-44-OMY1-5217 ,электродвигатель 8Y-03-BIGM-0108 ,0
тиски 8G-82-TW4S-0328 Экологический,вихрь 8G-82-TW4S-0328 ,1
идеализация D9-42-69N5-6637 ,идеализация 1C-39-U5CU-8973 ,0
стамеска 1U-25-MZ22-7274 Кинематический,опробование 1U-25-MZ22-7274 Генетический,1
электродвигатель 1Z-04-JC35-8972 Радиолокационный,опробование 1Z-04-JC35-8972 ,1
датчик VW-31-UTIS-5805 ,датчик 96-97-B7D4-3074 ,0
плоскогубцы PE-30-NOSD-1525 Химический,плоскогубцы MQ-65-TXFW-5088 Химический,0
двигатель 11-02-UJCQ-5593 Химический,двигатель 11-02-UJCQ-5593 Химический,1
стамеска EA-80-V2AE-3838 ,стамеска 4S-84-JX82-0153 ,0
эксперимент QE-10-QZVY-8564 ,эксперимент ER-49-48QQ-4522 ,0
клапан ZU-85-KGPN-5231 Пневматический,имитация ZU-85-KGPN-5231 ,1
каталогизация KP-43-5R22-5256 Газодинамический,трапеция KP-43-5R22-5256 Проектировочный,1
доска 5B-77-EH6O-0664 Технический,пульсометр 5B-77-EH6O-0664 ,1
идеализация G3-24-NOF9-9891 Исследовательский,идеализация 73-24-NOF9-9891 Исследовательский,0
электросверло ZK-17-RW7O-7612 ,электросверло ZK-17-RW7O87612 ,0
бита E6-30-8ZN9-4309 ,бита SM-60-FEAZ-5362 ,0
клещи 7Z-86-C7IF-7727 ,клещи 7Z-86-C7IF-7727 ,1
клещ KP-96-MKWR-7183 Управляющий,клепка KP-96-MKWR-7183 ,1
рулетка FO-72-6YL1-5408 ,рулетка FO-72-0YL1-5408 ,0
фильтр JR-53-192V-7380 Радиолокационный,станция JR-53-192V-7380 ,1
трапеция EI-95-O70F-9923 ,трапеция XX-41-XW67-8562 ,0
компрессор GV-06-EZYV-6128 Регулирующий,компрессор QA-83-1WO1-5111 Регулирующий,0
полумесяц 8I-00-OI3F-1695 ,полумесяц 1S-72-G5MX-9496 ,0
рельс 1D-68-NRLP-0643 ,рельс 8Z-00-2C8N-9144 ,0
двутавр YY-42-X3SS-0508 Электрический,двутавр 6H-04-JJFU-5492 Электрический,0
рычаг 2X-58-GFOY-4570 ,рычаг HR-62-BCPD-3300 ,0
паяльник 1R-97-DXVV-6936 Металлургический,паяльник 1R-97-DXVV-1936 Металлургический,0
энтузиазм S4-32-C5OF-5193 Автоматический,станция S4-32-C5OF-5193 Гидравлический,1
гидростатика SQ-84-58DL-3827 Гравитационный,краскопульт SQ-84-58DL-3827 ,1
шпатель YP-99-6A9T-9015 ,шпатель YP-99-6A9T-7015 ,0
электродвигатель UV-25-XG82-1274 ,электродвигатель XM-89-621W-6592 ,0
крюки 0X-53-1I4N-9628 ,крюки KX-74-NTC6-1052 ,0
стамеска I5-73-F0GZ-6624 Геотехнический,стамеска BX-42-338L-0308 Геотехнический,0
клещ WG-84-R9W0-2655 Аэродинамический,клещ WG-84-R9W0-2655 ,1
кисточка M7-03-EPOO-2445 ,диспергирование M7-03-EPOO-2445 ,1
пилка BG-14-0EF5-9789 Автоматический,пилка BG114-0EF5-9789 Автоматический,0
гвоздодер GI-24-3VBD-7554 ,гвоздодер HF-79-XS8E-5683 ,0
клепка RV-93-DZ3A-0802 ,клепка R7-93-DZ3A-0802 ,0
тент 2P-24-G904-5558 ,тент 2P-24-G90445558 ,0
станция 9U-48-HUGW-0749 ,станция 69-64-6FTW-1765 ,0
пилка XO-61-MDER-4676 ,пилка XO-71-MDER-4676 ,0
нож QQ-03-8UC4-0705 Тепловой,нож I9-73-W6LQ-2741 Тепловой,0
олово 99-21-C8H9-6326 Микробиологический,олово 99-21-C8H9-6326 Микробиологический,1
клещи WS-68-G0VZ-8659 ,клещи WS-48-G0VZ-8659 ,0
энтузиазм W4-91-Z3JL-2031 Гравитационный,датчик W4-91-Z3JL-2031 ,1
градусник Y1-67-KN9R-3557 Тепловой,жесткость Y1-67-KN9R-3557 Тепловой,1
кисточка UL-02-8J0N-3999 Радиолокационный,кисточка HZ-73-5IO4-1269 Радиолокационный,0
настой TZ-20-P645-2044 ,настой TZ-20-P625-2044 ,0
диспергирование 4U-69-KOMQ-3542 Компьютерный,рычаг 4U-69-KOMQ-3542 ,1
темномер TO-58-U401-8347 Силовой,темномер T5-58-U401-8347 Силовой,0
холодильник 53-13-TTKJ-7978 Лазерный,холодильник CI-84-SC3O-5818 Лазерный,0
тара WS-04-3IHM-8636 Телекоммуникационный,тара WS-04-3IHM-8636 Биотехнологический,1
гвоздодер 3A-35-OHLJ-4770 Фотографический,доска 3A-35-OHLJ-4770 ,1
рельс SY-87-510P-6104 Электрический,структурирование SY-87-510P-6104 ,1
цилиндр SE-68-3PPS-8126 ,цилиндр TF-31-IYRK-4072 ,0
электродвигатель 26-94-VFZB-1957 Электрический,электродвигатель 26-94-VFZB-1957 Электрический,1
структурирование WT-05-9Z57-5064 Безопасностный,пульсометр WT-05-9Z57-5064 ,1
дырокол 3N-30-0G1Y-7504 Управляющий,дырокол 3N-30-0G7Y-7504 Управляющий,0
бита 9C-20-PBKF-4671 Управляющий,бита DP-98-R9IB-9418 ,1
термометр ZF-76-QPQ8-8992 Вибрационный,рельс ZF-76-QPQ8-8992 ,1
крюки 2V-28-D0T4-8902 Экологический,крюки 2V-28-D7T4-8902 Экологический,0
реостат BW-84-YIL1-8707 Радиолокационный,клещ BW-84-YIL1-8707 Фотографический,1
программатор 01-73-NTWR-5051 Энергетический,антенна 01-73-NTWR-5051 ,1
расчет PC-21-DHHT-2008 ,расчет PC-21-DHH5-2008 ,0
реостат E8-79-A8OW-6615 Расчетный,моделирование E8-79-A8OW-6615 ,1
вихрь TK-09-PNM9-4165 Сверхпроводящий,крестовина TK-09-PNM9-4165 ,1
шпатель OF-12-Z7ZV-4338 Криогенный,шпатель OF-12-Z7ZV-4338 Криогенный,1
олово 0P-38-Y3YN-3657 ,олово Y0-97-CFP2-4019 ,0
