Исходные данные,Референс,Классификатор 
рычаг AD-61-S63C-8335 ,рычаг 8U-07-E31S-1295 ,0
моделирование 01-94-43G9-7410 ,пила 01-04-43G9-7410 ,0
цилиндр UB-88-GCD7-9386 ,цилиндр UV-05-ZCV3-6665 ,0
настой ZJ-05-EQHE-2208 Силовой,циркуль ZJ-05-EQHE-2208 Радиотехнический,1
водоснабжение GJ-39-75UI-8905 Биотехнологический,аппаратура GJ-39-75UI-8905 ,1
градусник ID-78-5MRR-2066 Сверхпроводящий,рельс ID-78-5MRR-2066 ,1
темномер IW-34-R8I7-2112 Металлургический,фильтр IW-34-R8I7-2112 ,1
лагерь IP-82-MXHY-7597 Исследовательский,холодильник IP-82-MXHY-7597 ,1
тент XO-14-4MWQ-7788 Эргономический,циркуль XO-14-4MWQ-7788 ,1
цилиндр AY-35-LVEV-3356 Технический,цилиндр PN-62-HYY4-1245 Технический,0
врезка QG-22-VCX6-3366 Криогенный,игла QG-22-VCX6-3366 Криогенный,1
последовательность NH-08-C97Q-9228 ,последовательность NH-03-C97Q-9228 ,0
гидростатика EJ-36-42TL-3030 ,гидростатика VU-38-71AQ-7538 ,0
доска 8T-17-NK7B-0181 ,доска 19-52-8CU5-6975 ,0
аргон FY-74-ETAL-1961 Механический,аргон MH-48-PG95-5988 Биомедицинский,0
крюки 12-45-NV22-9110 Биотехнологический,крюки 12-45-NV22-9110 Исследовательский,1
шкала 1Y-70-V559-0566 Радиочастотный,идеализация 1Y-70-V559-0566 ,1
доска KS-47-3CZI-2707 ,доска L5-84-GHX0-0394 ,0
якорь 06-60-22MF-3632 Термический,переименование 06-60-22MF-3632 ,1
отвертка 6U-05-1A6M-1897 Термический,сварка 6U-05-1A6M-1897 ,1
настой IE-79-S7O5-7544 Газодинамический,стамеска IE-79-S7O5-7544 ,1
щетка 2B-09-O2WQ-1754 Кинематический,щетка 2B-09-O2WQ-3754 Кинематический,0
пилка X3-66-WLLS-5251 Пневматический,пилка X3466-WLLS-5251 Пневматический,0
трапеция TQ-93-ZJIZ-6068 Компьютерный,имитация TQ-93-ZJIZ-6068 ,1
ключ QL-72-Y5Z5-1036 Криогенный,ключ 2I-92-K38L-8751 Криогенный,0
аналитика 0T-02-L3O3-9524 ,аналитика WI-90-ZZZO-3318 ,0
детектор GY-95-YVWZ-7115 ,детектор GY-95-YVWZ-7815 ,0
врезка FY-61-0C1O-3861 Технический,врезка FY-61-0C1O-3861 ,1
врезка Z0-27-LTC7-3594 ,симуляция ZX-88-AM5F-9305 ,0
термометр 23-82-7NCF-2142 ,термометр SE-44-ODPJ-0639 ,0
клапан V6-38-1UFD-0476 Акустический,клапан V6-38-1UFD-0476 ,1
игла 8C-47-QVGI-2857 Газодинамический,тренога 8C-47-QVGI-2857 ,1
сварка W2-17-73BO-2081 Гравитационный,сварка FL-46-PE5J-4969 Гравитационный,0
гидрамеханика LY-70-FS0H-1815 Полупроводниковый,шкала LY-70-FS0H-1815 Архитектурный,1
молоток MU-46-RJ95-9831 ,молоток XR-61-2QMS-9263 ,0
электродвигатель RD-25-0NHU-2150 Гальванический,цанга RD-25-0NHU-2150 ,1
крюки LG-71-GP03-1661 Термический,водоснабжение LG-71-GP03-1661 Архитектурный,1
двигатель 8L-91-WEAA-2341 Радиочастотный,двигатель 8L-91-WEAA-2341 Радиочастотный,1
электродвигатель BX-28-95G9-2600 Радиочастотный,аттестация BX-28-95G9-2600 Радиочастотный,1
турбулентность T1-64-UWVF-9603 Исследовательский,идеализация T1-64-UWVF-9603 Энергетический,1
игла EH-12-WXAK-5763 Технический,тент EH-12-WXAK-5763 Аэродинамический,1
ассоциация 6W-86-30ZX-0686 Фотографический,ассоциация 6W-86-30ZX-0686 Фотографический,1
электросверло EE-40-B723-0005 Гидравлический,электросверло WC-33-HS9C-2132 ,0
электросверло YR-93-NEA0-9100 ,электросверло YR-93-NE50-9100 ,0
расчет 58-16-NK4V-1161 ,расчет CH-22-TYP4-4161 ,0
крестовина CW-47-5F8O-5057 ,крестовина DX-02-374P-4628 ,0
двутавр XV-05-1SVG-7755 Автоматический,двутавр XV-05-1SVG-7755 ,1
тент Q9-56-P2RV-9738 ,тент Q9-562P2RV-9738 ,0
электросверло BX-44-SPWN-0004 ,электросверло BX-04-SPWN-0004 ,0
гвоздодер 0U-10-LUJN-1315 ,гвоздодер 0U-10-LUJN-1395 ,0
щетка GL-19-T3PD-4433 ,щетка GL-193T3PD-4433 ,0
тиски C8-75-HLJM-9127 ,тиски C8475-HLJM-9127 ,0
пульсометр ZH-40-GWXT-5180 Аэродинамический,гидростатика ZH-40-GWXT-5180 Оптический,1
антенна GO-23-7DNR-0214 Микробиологический,антенна GO-03-7DNR-0214 Микробиологический,0
расчет Q8-67-JHCU-8156 ,расчет Q8-67-JHCU-8556 ,0
шуруповерт KP-28-COGP-9197 ,шуруповерт KP-38-COGP-9197 ,0
кисточка TG-30-SCWZ-4972 ,кисточка 4O-91-E11S-0282 ,0
краскопульт 94-27-NM9T-4673 ,краскопульт 58-32-XZBD-3936 ,0
трапеция 49-58-RM5R-0798 ,трапеция 49-58-2M5R-0798 ,0
турбулентность UG-02-BL4P-1221 Микробиологический,турбулентность 05-69-I22W-6574 ,0
щетка BV-17-Q34K-0018 Архитектурный,настой BV-17-Q34K-0018 ,1
рулетка QF-87-7MSS-3992 ,уровень QF-87-7MSS-3992 ,1
пассатижи VG-25-WNB6-7259 Геотехнический,энтузиазм VG-25-WNB6-7259 ,1
моделирование VR-17-OYHC-1331 ,моделирование CD-67-C6T4-4057 ,0
вихрь 3P-38-OIT4-6161 Генетический,ассоциация 3P-38-OIT4-6161 Кинематический,1
структурирование AX-64-Z3ZH-3715 Радиотехнический,амортизация AX-64-Z3ZH-3715 ,1
энтузиазм 3L-66-2AWV-9427 Гравитационный,крюки 3L-66-2AWV-9427 Автоматический,1
амортизация C8-58-3W8Q-9848 Нанотехнологический,полумесяц C8-58-3W8Q-9848 ,1
антенна JT-83-G4D1-1939 Механический,аналитика JT-83-G4D1-1939 Механический,1
нож NF-67-E1D5-1382 Полупроводниковый,переименование NF-67-E1D5-1382 Силовой,1
тара EE-64-9LXA-3513 Ядерный,тара YU-22-JLL9-1139 Ядерный,0
структурирование 5O-06-9HM6-5513 ,рычаг 5O-06-9HM6-5513 ,1
расчет BX-81-QNNQ-2682 Пневматический,паяльник BX-81-QNNQ-2682 ,1
нож RT-71-XNW2-8943 Металлургический,нож LV-75-IO38-8987 Металлургический,0
тиски RU-22-VFFI-5179 ,тиски RU-82-VFFI-5179 ,0
компрессор MG-71-52RU-5866 Акустический,тиски MG-71-52RU-5866 Архитектурный,1
клещ BL-76-94SV-0985 ,клещ S5-32-SWFV-0290 ,0
сварка X9-46-PGSV-5593 Безопасностный,сварка N1-53-X1L1-3573 Безопасностный,0
ключ YH-75-MQCD-5757 Оптический,амортизация YH-75-MQCD-5757 ,1
гидрамеханика BI-96-RHK6-9568 Генетический,станция BI-96-RHK6-9568 ,1
крестовина YB-21-HARQ-1281 ,крестовина LW-32-0D6M-9613 ,0
ключ H5-15-AKTZ-8434 Вибрационный,нож H5-15-AKTZ-8434 ,1
электросверло SP-84-ABHF-2017 Кибернетический,проточка SP-84-ABHF-2017 Технический,1
клепка 83-70-6736-0896 Ядерный,каталогизация 83-70-6736-0896 ,1
гидрамеханика KY-42-8Z93-3447 ,гидрамеханика OL-14-ZHYK-1589 ,0
доска 7S-58-J3KH-0888 ,доска 5S-43-RQOW-5375 ,0
паста MJ-88-1NM3-0557 ,паста QJ-37-YMQW-2360 ,0
вихрь Q7-28-R1UQ-1240 ,вихрь Q7-28-81UQ-1240 ,0
шкала XM-60-QH16-6669 ,шкала LV-12-1K9O-3399 ,0
клепка 95-99-186L-8374 Пневматический,клепка 2R-77-0JUO-2151 Пневматический,0
станция VS-80-QVDE-8515 Термический,переименование VS-80-QVDE-8515 Сверхпроводящий,1
настой JZ-61-IFV4-6709 ,настой ZM-29-H999-0277 ,0
идеализация YA-04-FHEE-3264 ,нож YA-04-FHEE-3264 ,1
клещ Y0-82-UADT-2365 Полупроводниковый,вал Y0-82-UADT-2365 Химический,1
опробование 2R-22-U4U1-2753 Силовой,опробование 2R-22-U4U1-2703 Силовой,0
катушка QE-58-SIXG-5311 ,катушка 4E-58-SIXG-5311 ,0
аттестация JH-84-8WOB-6624 Биомедицинский,якорь JH-84-8WOB-6624 ,1
переименование UE-98-9T0Y-3252 Эргономический,спарка UE-98-9T0Y-3252 ,1
фонарь QU-10-CGRT-3498 ,структурирование QU-10-CGRT-3498 ,1
диспергирование 84-30-TEU6-9533 ,диспергирование F5-86-SF91-9817 ,0
структурирование S1-41-M39E-3531 Термический,щетка S1-41-M39E-3531 ,1
оружие 7P-30-8CQB-6867 Акустический,клепка 7P-30-8CQB-6867 Электрический,1
аргон IL-65-ZATD-1219 ,аргон 9T-25-NM80-2411 ,0
проточка KK-46-C5HN-1894 Сверхпроводящий,термометр KK-46-C5HN-1894 ,1
олово F6-97-1YSF-5978 ,олово F6-97-1YS9-5978 ,0
симуляция H7-98-EMGX-0471 Пневматический,симуляция SZ-99-SY7M-7361 Пневматический,0
оврископ 4X-55-12Z7-0760 ,оврископ 1H-72-5QQ1-8691 ,0
тренога KK-59-6UKZ-9609 ,тренога 3Y-09-6XQ2-7833 ,0
идеализация LB-77-2SLZ-6388 Электрический,идеализация LB-77-28LZ-6388 Электрический,0
ассоциация Z0-72-W1A6-8918 Автоматический,клещ Z0-72-W1A6-8918 ,1
полумесяц S9-41-X7SJ-3497 ,полумесяц S9-41-X74J-3497 ,0
водоснабжение GE-23-MEME-8781 Метрологический,водоснабжение GE-33-MEME-8781 Пневматический,0
аппаратура W4-49-XWOB-0752 Биомедицинский,эксперимент W4-49-XWOB-0752 ,1
аргон 4B-88-F3GV-7821 Технический,аргон 4B-48-F3GV-7821 Технический,0
отвертка 80-02-R8AK-4916 Архитектурный,отвертка IF-17-YQT9-3106 Архитектурный,0
двутавр XI-98-05VV-7802 Проектировочный,двутавр BE-73-284J-2177 Проектировочный,0
плоскогубцы 25-61-CB4D-0217 Акустический,плоскогубцы 25-61-CB7D-0217 Акустический,0
крестовина EI-49-BDGM-4440 Кибернетический,крестовина EI-49-3DGM-4440 Кибернетический,0
кисточка KG-38-APST-8284 Регулирующий,детектор KG-38-APST-8284 ,1
рычаг 3E-59-7NJI-5694 Тепловой,крестовина 3E-59-7NJI-5694 Тепловой,1
последовательность M3-14-SXAP-8445 Экологический,холодильник M3-14-SXAP-8445 Газодинамический,1
шпатель UN-15-EOOD-5769 Расчетный,моделирование UN-15-EOOD-5769 Геотехнический,1
энтузиазм M2-19-ZRGC-1647 Криогенный,энтузиазм BZ-91-YVRE-3231 Криогенный,0
расчет ZA-37-KPYO-4590 Радиолокационный,расчет ZA-37-KPYO-4590 ,1
диспергирование AV-61-K9GR-3116 Химический,диспергирование IT-05-411J-9740 Химический,0
электродвигатель 25-23-3YKW-8943 Проектировочный,гирокомпас 25-23-3YKW-8943 ,1
якорь E7-11-Y46M-3196 Энергетический,якорь E7-11-Y46M-3196 ,1
реостат ZS-08-PFOC-3666 Проектировочный,пульсометр ZS-08-PFOC-3666 ,1
паяльник UH-10-WU34-6876 Биотехнологический,аналитика UH-10-WU34-6876 Биотехнологический,1
бита 5U-83-3TLZ-5385 Генетический,крестовина 5U-83-3TLZ-5385 ,1
имитация KS-47-12GI-7170 Радиолокационный,темномер KS-47-12GI-7170 ,1
катушка GH-48-42FA-4540 Радиолокационный,катушка GH-38-42FA-4540 Радиолокационный,0
уровень I1-12-8V2I-2990 Расчетный,сварка I1-12-8V2I-2990 ,1
нож XX-88-HMGQ-9573 ,нож XX-78-HMGQ-9573 ,0
врезка RF-04-NLJ5-0363 ,врезка AU-20-L5JT-5656 ,0
такометр RC-72-MEYB-8333 Акустический,крестовина RC-72-MEYB-8333 ,1
ключ K6-77-MD1F-4196 ,ключ K6-77-MD1F-6196 ,0
антенна NF-25-RTDR-7464 ,антенна EN-00-WOIP-3686 ,0
аттестация S7-01-ILDF-8289 ,холодильник S7-01-ILDF-8289 ,1
аналитика XX-24-OEIK-6713 Компьютерный,моделирование XX-24-OEIK-6713 Гальванический,1
тиски 4E-12-IXFK-4140 Гравитационный,тиски 4E-11-IXFK-4140 Гравитационный,0
датчик 9N-91-0C5J-1471 Фотографический,субкультура 9N-91-0C5J-1471 ,1
врезка V3-27-D9G0-3604 Фотографический,аналитика V3-27-D9G0-3604 ,1
эксперимент GN-04-J7U4-1762 Автоматический,вал GN-04-J7U4-1762 Кибернетический,1
цанга IG-64-TRAR-8616 Телекоммуникационный,цанга IG-64-TRAR-8616 Конструктивный,1
диспергирование N7-93-0XYH-9018 ,диспергирование VZ-54-H0X5-7415 ,0
анализатор J6-05-OQC9-6196 Геотехнический,анализатор 6J-69-7JUN-5181 Геотехнический,0
антенна V2-24-N2WR-2969 ,антенна KV-50-12HM-1583 ,0
холодильник X4-50-Z1EU-9107 ,холодильник 1K-82-UDG2-9786 ,0
двигатель JM-14-9F63-1578 ,жесткость JM-14-2F63-1578 ,0
реостат E7-68-7IE1-3698 Конструктивный,реостат E7-68-75E1-3698 Биомедицинский,0
эксперимент 95-82-4QQ5-4272 ,энтузиазм 95-82-4QQ5-4272 ,1
каталогизация 9R-38-OT2B-0829 ,кисточка 9R-38-OT2B-0829 ,1
бита 8M-77-F7HO-8228 Исследовательский,бита ID-68-5FDT-9312 Исследовательский,0
ключ DV-05-92NI-2429 Газодинамический,шуруповерт DV-05-92NI-2429 ,1
компрессор NX-05-CGQG-1802 Регулирующий,станция NX-05-CGQG-1802 ,1
нож TG-58-IP4V-7812 Фотографический,нож TG-58-IP4V-7812 ,1
тент 6Q-61-J3OE-2977 ,расчет 6Q-61-J3OE-2977 ,1
паста AK-34-E0XC-8280 Эргономический,паста AK-34-E0XC-8280 Эргономический,1
вал XA-61-JOLN-1290 ,вал X1-61-JOLN-1290 ,0
вихрь 31-34-TFVU-7470 ,вихрь BI-89-TRCV-7124 ,0
гирокомпас U8-31-1XFR-1826 ,гирокомпас 62-74-I1ZD-0258 ,0
уровень GJ-01-HHBW-9456 Гравитационный,ассоциация GJ-01-HHBW-9456 ,1
холодильник FX-23-HWVD-1111 Фотографический,такометр FX-23-HWVD-1111 Расчетный,1
дырокол V5-48-16H9-6904 Проектировочный,такометр V5-48-16H9-6904 ,1
катушка TP-05-Q5NH-7276 Термический,уровень TP-05-Q5NH-7276 ,1
станция HF-10-KA0R-1666 Металлургический,станция HF-10-KA04-1666 Металлургический,0
пассатижи 47-54-X5PI-0674 Гальванический,пассатижи 47-54-35PI-0674 ,0
паста LK-83-Z384-8225 Электрический,программатор LK-83-Z384-8225 Телекоммуникационный,1
термометр E6-22-FI55-2464 ,олово 67-89-W9CU-6962 ,0
нож FH-83-GJHN-0464 ,нож FH-87-GJHN-0464 ,0
термометр 19-13-7KVP-6426 ,термометр 19-13-77VP-6426 ,0
трапеция ZM-47-U069-5785 Силовой,трапеция ZM-43-U069-5785 Радиотехнический,0
симуляция UX-32-OK3C-2840 Электрический,симуляция UX-32-OK3C-2840 Термический,1
детектор 2V-21-K5I0-2389 Компьютерный,детектор 2V421-K5I0-2389 Компьютерный,0
жесткость EL-61-8MYW-7543 Экологический,жесткость EO-89-H02E-9359 Экологический,0
каталогизация 88-85-I9M3-3445 Сверхпроводящий,фонарь 88-85-I9M3-3445 Сверхпроводящий,1
оврископ 92-85-O0CD-1682 Робототехнический,оврископ 92-85-O0CD-1682 ,1
дырокол IQ-11-7VMI-5144 ,дырокол IQ-11-7V6I-5144 ,0
проточка AF-88-K1LU-0531 Радиотехнический,проточка AF-88-K1LU-4531 Радиотехнический,0
реостат AW-72-8ZMN-3832 ,реостат AW-72-8ZMN-3832 ,1
аналитика A4-53-6D9E-7125 ,аналитика A4-53-6D9E-6125 ,0
эксперимент FI-27-I8CW-3360 Исследовательский,фильтр FI-27-I8CW-3360 ,1
циркуль 4U-62-JY96-0201 Робототехнический,циркуль 4U-62-JY96-0201 ,1
реостат 3R-10-LEGW-2841 Оптический,реостат 3R-10-LEGW-2841 ,1
клещи LW-20-NAK0-3706 Микробиологический,сварка LW-20-NAK0-3706 ,1
ассоциация 3Y-62-USGE-0205 Автоматический,ассоциация 3Y-62-USGE-0205 ,1
спарка C5-66-FRWL-8367 Термический,ключ C5-61-FRWL-8367 Термический,0
оружие 5E-33-B7RG-2394 Исследовательский,гвоздодер 5E-33-B7RG-2394 Исследовательский,1
вал 22-11-II3U-9588 Механический,вал 25-11-II3U-9588 Механический,0
лагерь WW-49-UIFL-8985 Энергетический,лагерь WW-49-UIFL-8885 Энергетический,0
трапеция 05-54-AB0N-9844 ,трапеция 05-54-7B0N-9844 ,0
ключ WX-30-GLP9-9053 ,тренога WX-30-GLP9-9053 ,1
амортизация 71-85-9DKC-7790 Радиочастотный,шпатель 71-85-9DKC-7790 Радиочастотный,1
сварка TU-55-JRLN-6908 ,сварка TU-55-JRLN-6908 ,1
шкала 2I-19-XXWQ-1017 ,шкала 2I-198XXWQ-1017 ,0
компрессор VY-07-LPFZ-9346 ,компрессор 3V-09-53UH-8669 ,0
цанга JY-69-TDS2-2195 ,структурирование JY-69-TDS2-2195 ,1
компрессор ZT-59-HD5X-7209 Радиолокационный,компрессор D7-87-LKHG-7972 Радиолокационный,0
нож 7Q-04-Y6LO-9443 Расчетный,нож 1F-55-OW8J-2040 Расчетный,0
пульсометр A8-11-A9W2-5945 ,пульсометр A9-11-A9W2-5945 ,0
полумесяц XD-79-AFQ0-2847 ,полумесяц XD-79-AFQ0-2847 ,1
плоскогубцы XB-46-GV3F-8274 ,плоскогубцы XB-48-GV3F-8274 ,0
олово 5X-82-BZG3-2479 ,рычаг 5X-82-BZG3-2479 ,1
симуляция Z6-64-ENAE-7269 ,симуляция 6Y-00-ZBCZ-3316 ,0
компрессор P2-43-F5N8-9292 ,компрессор XY-55-BGC2-8899 ,0
пила 1U-95-OP5K-8772 ,пила 1U-25-OP5K-8772 ,0
клещи CX-28-ED73-2242 Расчетный,клещи AC-50-JBPI-2422 ,0
паста 0Y-62-811O-2967 ,паста 0Y062-811O-2967 ,0
моделирование OX-10-U8IC-6753 Экологический,симуляция OX-10-U8IC-6753 ,1
оружие 3L-84-ANL4-3445 Вибрационный,оружие 3L-84-ANL4-3445 ,1
вихрь BA-24-KPB9-9019 Акустический,вихрь 17-65-MIEY-5238 Акустический,0
пульсометр CJ-41-E569-3064 ,пульсометр 4B-53-051C-0344 ,0
переименование EG-20-LMML-1418 Гравитационный,фильтр EG-20-LMML-1418 ,1
эксперимент 7V-74-TQ8L-3611 Управляющий,щетка 7V-74-TQ8L-3611 ,1
рельс FL-76-VFD3-6290 ,аттестация F3-76-VFD3-6290 ,0
нож LX-38-W1QM-9216 Нанотехнологический,нож OX-16-BE5A-9848 ,0
пассатижи 50-62-GI06-6891 ,пассатижи ZH-04-GZW0-0221 ,0
идеализация JF-39-NCY6-5171 ,идеализация ER-29-8U1A-6661 ,0
стамеска GS-47-7BEK-4345 Химический,станция GS-47-7BEK-4345 ,1
темномер KM-72-2LI9-4930 ,темномер EG-41-UNQP-7475 ,0
олово RY-64-AC74-2471 Кинематический,тисочки RY-64-AC74-2471 ,1
шпатель HQ-66-NRRJ-7207 Метрологический,ключ HQ-66-NRRJ-7207 ,1
стамеска OK-63-IQAW-7933 Биомедицинский,оружие OK-63-IQAW-7933 ,1
темномер Y5-74-UPIQ-5209 Микробиологический,темномер Y5-77-UPIQ-5209 Микробиологический,0
тара H2-88-3ACF-5809 Генетический,лента H2-88-3ACF-5809 Газодинамический,1
амортизация XF-33-CG2N-2564 Архитектурный,амортизация 02-35-DUZC-4837 ,0
уровень 20-47-FF3B-6062 Экологический,электродвигатель 20-47-FF3B-6062 ,1
симуляция I3-30-VSBC-7288 ,симуляция 4R-84-C3MG-0315 ,0
последовательность TN-38-BV8N-7021 ,последовательность TN-30-BV8N-7021 ,0
расчет TW-82-QGN8-0707 ,расчет D3-86-HUW2-9113 ,0
бита 25-13-6VCF-3989 Управляющий,бита 25-13-6VCF-3989 ,1
энтузиазм 66-37-IGXY-8057 Исследовательский,энтузиазм 66-37-IGXY-8057 Технический,1
ключ ZR-61-7BYJ-2881 Автоматический,ключ ZC-81-HBAT-7238 Автоматический,0
гирокомпас O3-78-OJR4-0427 Безопасностный,гирокомпас O3-78-OJR4-0427 ,1
такометр P7-62-DIGY-8993 Гидравлический,циркуль P7-62-DIGY-8993 Экологический,1
тара 4L-52-7UEH-6173 Металлургический,доска 4L-52-7UEH-6173 ,1
полумесяц VO-62-EO8F-1681 Силовой,моделирование VO-62-EO8F-1681 ,1
клещи JW-01-WAKH-6188 ,клещи JW-51-WAKH-6188 ,0
эксперимент NM-32-1L8G-6183 Радиолокационный,эксперимент EF-87-OO1Q-1823 ,0
станция 2V-80-U7YR-2189 ,станция 2V-80-U7Y9-2189 ,0
щетка B9-63-3871-0918 Технический,уровень B9-63-3871-0918 Технический,1
гидрамеханика 84-58-RL7H-2258 Полупроводниковый,каталогизация 84-58-RL7H-2258 ,1
пассатижи ZL-39-RDO3-6243 ,пассатижи ZL339-RDO3-6243 ,0
анализатор 36-56-2TEM-2161 ,анализатор 36756-2TEM-2161 ,0
цилиндр 1B-38-TPFE-5858 ,цилиндр KR-51-73RQ-6144 ,0
циркуль MU-06-AR1N-2487 Акустический,рулетка MU-06-AR1N-2487 ,1
якорь 2U-08-KTZ0-4983 ,якорь 2U-07-KTZ0-4983 ,0
гирокомпас XG-14-LB33-8694 Телекоммуникационный,проточка XG-14-LB33-8694 Механический,1
станция XB-54-BG0E-8572 ,станция XB-56-BG0E-8572 ,0
отвертка EO-70-1BT1-1337 Исследовательский,игла EO-70-1BT1-1337 ,1
рулетка 8A-09-DIMI-1007 Силовой,рулетка 8U-38-VENX-0785 Силовой,0
ассоциация 5C-34-HKNO-5680 Криогенный,ассоциация 5C-34-HKNO-5680 Геотехнический,1
пульсометр IN-41-L7DD-5389 ,пульсометр NA-67-XN3H-2738 ,0
опробование 1E-26-6F0G-5717 ,опробование 17-26-6F0G-5717 ,0
гирокомпас DX-34-S42F-4920 ,гирокомпас D2-34-S42F-4920 ,0
клещи TB-58-BP6M-5584 ,клещи QG-88-WC30-4735 ,0
дырокол FS-88-1TSX-7945 ,ключ FS-88-1TSX-7945 ,1
олово H5-06-OH17-7926 Безопасностный,олово CE-67-1LTT-8736 Безопасностный,0
расчет 8S-43-Z8VR-7417 Гравитационный,пилка 8S-43-Z8VR-7417 ,1
крюки FZ-81-5VUK-0754 ,аттестация FZ-81-5VUK-0754 ,1
цанга QV-15-1SLW-7700 Микробиологический,цанга QV-15-1SLW-7700 Механический,1
электродвигатель QX-99-E67R-2347 Кибернетический,градусник QX-99-E67R-2347 ,1
датчик SE-72-2HA5-2165 ,датчик SE-72-3HA5-2165 ,0
полумесяц MH-76-USKH-2283 ,полумесяц S3-97-NIGS-2608 ,0
детектор 9F-55-MONR-8172 ,детектор 9F-55-MONR-8172 ,1
рельс 6E-52-58R0-7038 ,олово 6E-52-58R0-7038 ,1
нож MW-40-XK10-8745 ,вихрь MW-40-XK10-8745 ,1
нож H3-12-8J9V-4897 ,нож PJ-17-NISI-6729 ,0
вал SX-38-OSEM-3163 Эргономический,вал SX-38-OSEM-3163 ,1
шкала 5P-63-90MO-3621 ,шкала 5P-73-90MO-3621 ,0
ассоциация 7T-09-5V9E-4592 ,ассоциация 63-94-5DPD-9691 ,0
спарка C0-74-VILM-0649 ,спарка L1-46-VD1P-1307 ,0
дырокол JI-25-I3WN-2735 Автоматический,дырокол J7-25-I3WN-2735 Автоматический,0
шкала U8-18-SMLH-9105 ,шкала U5-18-SMLH-9105 ,0
тент EG-34-S1OE-2552 ,краскопульт EG-34-S1OE-2552 ,1
шкала EM-68-N2E2-2963 Регулирующий,шкала BU-94-D809-5405 Регулирующий,0
датчик K1-40-P1DL-7579 ,датчик K1-40-P16L-7579 ,0
структурирование OG-36-OCP3-7183 Полупроводниковый,структурирование 4G-36-OCP3-7183 Полупроводниковый,0
фонарь MP-19-MKAF-3876 ,фонарь MP-19-MKAF43876 ,0
пульсометр I5-37-GYKF-8047 Кибернетический,амортизация I5-37-GYKF-8047 ,1
тиски TK-85-1Y9Y-6675 Вибрационный,тиски TK-85-1Y9Y-6675 ,1
тент UI-92-QRX7-3598 ,тент ID-65-3ATU-4836 ,0
ассоциация U5-57-9295-3344 ,ассоциация 4Y-23-4HWY-2849 ,0
краскопульт R2-20-6UOO-8642 ,краскопульт Z2-07-6XWY-9955 ,0
молоток 6Y-53-Y8DX-7493 ,молоток 6Y-03-Y8DX-7493 ,0
отвертка D4-23-R61S-8934 ,гидростатика D4-23-R61S-8934 ,1
пилка DS-91-KTIG-0745 Гальванический,переименование DS-91-KTIG-0745 ,1
шкала 09-95-CJDI-1055 Архитектурный,шкала RT-72-7HY5-2891 ,0
пульсометр 33-29-KFXI-6402 Автоматический,пульсометр 5W-55-U232-8682 Автоматический,0
двутавр SA-48-PMGP-7622 Робототехнический,врезка SA-48-PMGP-7622 ,1
олово PW-30-G1QL-7287 Расчетный,олово PW-80-G1QL-7287 Расчетный,0
пульсометр X9-30-MUAK-2131 Лазерный,пульсометр X9-30-MUAK-2131 ,1
олово 3X-86-I5JX-2200 Безопасностный,олово KE-50-NPAN-9855 Безопасностный,0
стамеска HD-55-12KD-7889 Расчетный,стамеска TH-37-EO07-6911 Расчетный,0
кисточка TE-21-CGUX-7928 Полупроводниковый,кисточка LD-11-FSZW-4105 Гидравлический,0
пила CR-04-66BT-7094 Ядерный,пила CR-04-66BT-7094 Микробиологический,1
переименование H6-79-NWDJ-2893 ,переименование H6-79-NWDJ42893 ,0
детектор 14-62-YPOB-4441 ,детектор 14-64-YPOB-4441 ,0
ассоциация 5G-64-1WCE-8009 ,ассоциация 29-64-YSIQ-3526 ,0
гидростатика PV-09-H185-3282 Расчетный,клепка PV-09-H185-3282 Энергетический,1
электродвигатель 4Z-67-8XVH-1599 Полупроводниковый,клепка 4Z-67-8XVH-1599 ,1
шкала A6-98-KHIU-5674 ,турбулентность A6-98-KHIU-5674 ,1
лагерь I8-65-8O8W-3232 Нанотехнологический,лагерь M2-20-TQXD-4955 Нанотехнологический,0
кисточка YY-16-5JQD-6141 Метрологический,темномер YY-16-5JQD-6141 ,1
антенна I1-03-4TE3-1619 Аэродинамический,нож I1-03-4TE3-1619 ,1
рулетка 72-41-F7T1-1240 ,рулетка 72-41-F7T1-5240 ,0
паста 3B-61-PXP4-9203 ,паста 3B-61-7XP4-9203 ,0
врезка 3Z-80-YH0P-3401 ,врезка W9-48-UFC5-4236 ,0
ассоциация O9-12-KODP-6894 Криогенный,ассоциация O9512-KODP-6894 Криогенный,0
электродвигатель 1C-80-C6YG-2374 ,электродвигатель 1C-80-C6Y0-2374 ,0
водоснабжение FY-03-HT4N-0423 Геотехнический,водоснабжение FY-03-HT4N-0423 ,1
полумесяц TB-02-09WL-6660 Радиотехнический,антенна TB-02-09WL-6660 Аэродинамический,1
электросверло 50-06-UYK7-8734 Генетический,электросверло 50-06-UYK7-8734 ,1
пульсометр 3X-96-WQOX-5422 Тепловой,пульсометр 3X-963WQOX-5422 Тепловой,0
спарка XY-13-ID03-7942 Кибернетический,спарка XY-13-ID03-7942 ,1
аттестация SW-40-UA5I-7591 Безопасностный,аттестация 1E-90-AKQV-8420 Безопасностный,0
проточка X6-35-A5IF-1405 Робототехнический,термометр X6-35-A5IF-1405 ,1
игла 7B-87-ZS5R-3045 Нанотехнологический,антенна 7B-87-ZS5R-3045 ,1
нож II-09-YTKW-7751 ,нож II-09-YTKW-7751 ,1
